Marca temporal,INTENTO,YARDAS PARA SITUACIÓN,SITUACIÓN,JUGADA,TIPO DE JUGADA,QB,WR,RESULTADO,LADO,PROFUNDIDAD,YARDAS HECHAS,DEFLEXION,INTERCEPCION,LADO INTERCEPCION,PROFUNDIDAD INTERCEPCION,YARDA INTERCEPCION,YARDA DEVOLUCION,COMENTARIO
2026/06/20 10:01:00,1,10,RENOVACIÓN,1,PASE,7,82,COMPLETO,Medio,Corto,8,,,,,,,corta al medio
2026/06/20 10:02:00,2,2,RENOVACIÓN,2,CORRIDA,7,7,COMPLETO,Medio,Corto,3,,,,,,,QB sneak
2026/06/20 10:03:00,1,10,RENOVACIÓN,3,PASE,7,11,INCOMPLETO,Derecha,Profundo,0,22,,,,,,deflectado
2026/06/20 10:04:00,2,10,RENOVACIÓN,4,PASE,7,85,COMPLETO,Izquierda,Medio,12,,,,,,,slant
2026/06/20 10:05:00,3,4,RENOVACIÓN,5,PASE,7,82,COMPLETO,Medio,Corto,6,,,,,,,
2026/06/20 10:06:00,1,10,GOL,6,PASE,10,11,COMPLETO,Derecha,Profundo,15,,,,,,,touchdown
2026/06/20 10:07:00,1,10,RENOVACIÓN,7,CORRIDA,10,15,COMPLETO,Izquierda,Corto,5,,,,,,,
2026/06/20 10:08:00,2,5,RENOVACIÓN,8,PASE,10,82,INCOMPLETO,Medio,Medio,0,,30,Medio,Medio,25,40,intercepción y devolución
2026/06/20 10:09:00,3,5,RENOVACIÓN,9,PASE,10,85,COMPLETO,Derecha,Medio,7,,,,,,,
2026/06/20 10:10:00,1,10,GOL,10,PASE,7,11,COMPLETO,Izquierda,Profundo,20,,,,,,,touchdown largo
